Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Abiotrophia defectiva
Absiella tortuosum
Abyssicoccus albus
Abyssisolibacter fermentans
Abyssivirga alkaniphila
Acanthopleuribacter pedis
Acaricomes phytoseiuli
Acetanaerobacterium elongatum
Acetatifactor muris
Acetilactobacillus jinshanensis
Acetitomaculum ruminis
Acetivibrio aldrichii
Acetivibrio alkalicellulosi
Acetivibrio cellulolyticus
Acetivibrio clariflavus
Acetivibrio ethanolgignens
Acetivibrio saccincola
Acetivibrio straminisolvens
Acetivibrio thermocellus
Acetoanaerobium noterae
Acetoanaerobium pronyense
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter ascendens
Acetobacter cerevisiae
Acetobacter cibinongensis
Acetobacter estunensis
Acetobacter fabarum
Acetobacter farinalis
Acetobacter ghanensis
Acetobacter indonesiensis
Acetobacterium bakii
Acetobacterium carbinolicum
Acetobacterium fimetarium
Acetobacterium malicum
Acetobacterium paludosum
Acetobacterium psammolithicum
Acetobacterium tundrae
Acetobacterium wieringae
Acetobacterium woodii
Acetobacter lambici
Acetobacter lovaniensis
Acetobacter malorum
Acetobacter musti
Acetobacter nitrogenifigens
Acetobacter oeni
Acetobacteroides hydrogenigenes
Acetobacter okinawensis
Acetobacter orientalis
Acetobacter orleanensis
Acetobacter papayae
Acetobacter pasteurianus
Acetobacter peroxydans
Acetobacter persici
Acetobacter pomorum
Acetobacter senegalensis
Acetobacter sicerae
Acetobacter suratthaniensis
Acetobacter syzygii
Acetobacter thailandicus
Acetobacter tropicalis
Acetohalobium arabaticum
Acetomicrobium flavidum
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetomicrobium thermoterrenum
Acetonema longum
Acholeplasma equifetale
Acholeplasma granularum
Acholeplasma hippikon
Acholeplasma laidlawii
Acholeplasma multilocale
Acholeplasma oculi
Acholeplasma pleciae
Achromobacter aegrifaciens
Achromobacter agilis
Achromobacter aloeverae
Achromobacter animicus
Achromobacter anxifer
Achromobacter deleyi
Achromobacter denitrificans
Achromobacter dolens
Achromobacter insolitus
Achromobacter insuavis
Achromobacter kerstersii
Achromobacter marplatensis
Achromobacter mucicolens
Achromobacter panacis
Achromobacter pestifer
Achromobacter piechaudii
Achromobacter pulmonis
Achromobacter ruhlandii
Achromobacter spanius
Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidianus ambivalens
Acidianus brierleyi
Acidianus infernus
Acidianus sulfidivorans
Acidibrevibacterium fodinaquatile
Acidicaldus organivorans
Acidicapsa acidiphila
Acidicapsa acidisoli
Acidicapsa borealis
Acidicapsa ferrireducens
Acidicapsa ligni
Acidiferrimicrobium australe
Acidiferrobacter thiooxydans
Acidihalobacter yilgarnensis
Acidilobus aceticus
Acidilobus saccharovorans
Acidilobus sulfurireducens
Acidiluteibacter ferrifornacis
Acidimangrovimonas pyrenivorans
Acidimangrovimonas sediminis
Acidimicrobium ferrooxidans
Acidiphilium acidophilum
Acidiphilium angustum
Acidiphilium cryptum
Acidiphilium multivorum
Acidiphilium organovorum
Acidiphilium rubrum
Acidipila dinghuensis
Acidipila rosea
Acidiplasma aeolicum
Acidiplasma cupricumulans
Acidipropionibacterium acidipropionici
Acidipropionibacterium damnosum
Acidipropionibacterium jensenii
Acidipropionibacterium microaerophilum
Acidipropionibacterium olivae
Acidipropionibacterium thoenii
Acidisoma sibiricum
Acidisoma tundrae
Acidisphaera rubrifaciens
Aciditerrimonas ferrireducens
Acidithiobacillus albertensis
Acidithiobacillus caldus
Acidithiobacillus ferridurans
Acidithiobacillus ferriphilus
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Acidithiobacillus thiooxidans
Acidobacterium ailaaui
Acidobacterium capsulatum
Acidocella aluminiidurans
Acidocella aminolytica
Acidocella aquatica
Acidocella aromatica
Acidocella facilis
Acidomonas methanolica
Acidothermus cellulolyticus
Acidovorax anthurii
Acidovorax avenae
Acidovorax caeni
Acidovorax cattleyae
Acidovorax citrulli
Acidovorax defluvii
Acidovorax delafieldii
Acidovorax facilis
Acidovorax konjaci
Acidovorax lacteus
Acidovorax monticola
Acidovorax oryzae
Acidovorax radicis
Acidovorax soli
Acidovorax temperans
Acidovorax valerianellae
Acidovorax wautersii
Acinetobacter albensis
Acinetobacter antiviralis
Acinetobacter apis
Acinetobacter baumannii
Acinetobacter baylyi
Acinetobacter beijerinckii
Acinetobacter bereziniae
Acinetobacter boissieri
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter calcoaceticus
Acinetobacter chengduensis
Acinetobacter chinensis
Acinetobacter courvalinii
Acinetobacter defluvii
Acinetobacter dispersus
Acinetobacter equi
Acinetobacter gandensis
Acinetobacter gerneri
Acinetobacter guillouiae
Acinetobacter gyllenbergii
Acinetobacter haemolyticus
Acinetobacter halotolerans
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter kookii
Acinetobacter kyonggiensis
Acinetobacter lactucae
Acinetobacter larvae
Acinetobacter lwoffii
Acinetobacter marinus
Acinetobacter modestus
Acinetobacter movanagherensis
